drug,task,model,overlap_up,overlap_dn,precision_up,precision_dn,jaccard_up,jaccard_dn
Nutlin,interpolation,control,0,0,0.0,0.0,0.0,0.0
Nutlin,interpolation,nearest,6,6,0.03,0.03,0.0152,0.0152
Nutlin,interpolation,linear_interp,6,7,0.03,0.035,0.0152,0.0178
Nutlin,interpolation,ridge,6,7,0.03,0.035,0.0152,0.0178
Nutlin,extrapolation,control,0,0,0.0,0.0,0.0,0.0
Nutlin,extrapolation,nearest,6,7,0.03,0.035,0.0152,0.0178
Nutlin,extrapolation,linear_interp,6,7,0.03,0.035,0.0152,0.0178
Nutlin,extrapolation,ridge,6,7,0.03,0.035,0.0152,0.0178
SAHA,interpolation,control,2,1,0.01,0.005,0.005,0.0025
SAHA,interpolation,nearest,35,4,0.175,0.02,0.0959,0.0101
SAHA,interpolation,linear_interp,34,4,0.17,0.02,0.0929,0.0101
SAHA,interpolation,ridge,34,4,0.17,0.02,0.0929,0.0101
SAHA,extrapolation,control,2,1,0.01,0.005,0.005,0.0025
SAHA,extrapolation,nearest,34,4,0.17,0.02,0.0929,0.0101
SAHA,extrapolation,linear_interp,34,4,0.17,0.02,0.0929,0.0101
SAHA,extrapolation,ridge,34,4,0.17,0.02,0.0929,0.0101
