Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
MSigDB_Hallmark_2020,p53 Pathway,62/200,2.9783999613420535e-48,1.2509279837636628e-46,0,0,18.04480400132574,1974.6915909528263,CYFIP2;CCNK;CDKN1A;BTG2;CD82;DGKA;RNF19B;TRIAP1;TM7SF3;SAT1;PIDD1;GM2A;SESN1;FDXR;HRAS;POLH;PHLDA3;APAF1;RHBDF2;TAP1;AEN;PRKAB1;DDB2;VAMP8;RAP2B;MAPKAPK3;TRAF4;NINJ1;NUPR1;ANKRA2;ISCU;RETSAT;RRAD;EI24;HSPA4L;AK1;PDGFA;RPS27L;XPC;PPM1D;DRAM1;ZMAT3;MKNK2;CLCA2;SFN;EPS8L2;BAK1;RALGDS;PLK3;GADD45A;FUCA1;LIF;BLCAP;PTPRE;CCNG1;MDM2;TNFSF9;SDC1;FAS;PLXNB2;COQ8A;FGF13,up
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,16/200,0.00011933916065614091,0.0016707482491859,0,0,3.1801006517614057,28.727569714385837,FBN2;SERPINE2;SDC4;LRP1;GADD45A;FUCA1;ITGA2;DKK1;SAT1;ACTA2;VCAN;GPC1;COL7A1;SDC1;FAS;FBN1,up
MSigDB_Hallmark_2020,Inflammatory Response,16/200,0.00011933916065614091,0.0016707482491859,0,0,3.1801006517614057,28.727569714385837,ABCA1;CDKN1A;BTG2;CSF1;CD82;TNFSF15;CD70;LIF;PTPRE;GPR132;AXL;ADORA2B;TNFSF9;ITGB8;TLR3;KCNJ2,up
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,15/200,0.0003872395272352165,0.0040660150359697,0,0,2.95945945945946,23.25089594500716,ABCA1;BTG2;CDKN1A;TNFAIP8;SDC4;CSF1;GADD45A;LIF;RNF19B;TAP1;SAT1;PTPRE;DRAM1;NINJ1;TNFSF9,up
MSigDB_Hallmark_2020,Apoptosis,12/161,0.0015200061680842,0.0127680518119079,0,0,2.9284495506768287,19.00282886746325,CDKN1A;BTG2;GPX1;RETSAT;GADD45A;FEZ1;FDXR;TAP1;PMAIP1;FAS;SAT1;BCL2L1,up
MSigDB_Hallmark_2020,Apical Junction,12/200,0.0086936803390324,0.060855762373227,0,0,2.316263974035341,10.991040646092545,GAMT;COL17A1;VCAN;ITGA3;ITGA2;ADAM23;PARD6G;NECTIN4;HRAS;GNAI1;DSC3;FBN1,up
MSigDB_Hallmark_2020,Cholesterol Homeostasis,6/74,0.0152233375635856,0.0913400253815138,0,0,3.185836345711469,13.3324882799285,ANXA13;SEMA3B;TP53INP1;HSD17B7;GNAI1;TM7SF2,up
MSigDB_Hallmark_2020,Estrogen Response Early,11/200,0.0210584845653242,0.1105570439679522,0,0,2.107928551537574,8.137556429459195,KRT19;KDM4B;MAST4;PODXL;GREB1;SEMA3B;PMAIP1;SFN;NADSYN1;RHOD;CELSR2,up
MSigDB_Hallmark_2020,Apical Surface,4/44,0.0310035905835369,0.1446834227231722,0,0,3.6024118738404454,12.513526132350687,SRPX;RTN4RL1;RHCG;SULF2,up
MSigDB_Hallmark_2020,Coagulation,8/138,0.0347766862425458,0.1460620822186926,0,0,2.2230913012221425,7.466936963471516,F8;LRP1;ITGA2;CRIP2;ISCU;C2;FBN1;DUSP14,up
MSigDB_Hallmark_2020,Estrogen Response Late,10/200,0.0469368587464534,0.1792134606682767,0,0,1.9025377703169744,5.819771739296423,KRT19;GALE;HSPA4L;SEMA3B;CPE;SFN;PLXNB1;CYP4F11;CELSR2;ASS1,up
MSigDB_Hallmark_2020,Myogenesis,9/200,0.0958220524250198,0.2874661572750594,0,0,1.700041178892876,3.98704270319511,HDAC5;CDKN1A;GAA;AK1;BDKRB2;PLXNB2;APOD;IGFBP7;AGRN,up
MSigDB_Hallmark_2020,Xenobiotic Metabolism,9/200,0.0958220524250198,0.2874661572750594,0,0,1.700041178892876,3.98704270319511,CYFIP2;ALDH3A1;SLC12A4;RETSAT;NINJ1;FAS;CROT;SERPINA6;DHRS1,up
