,drug,dose,well,sample
Dex_0.0_AC08,Dex,0.0,AC08,Dex_0.0_AC08
Dex_0.0_AD04,Dex,0.0,AD04,Dex_0.0_AD04
Dex_0.0_AD12,Dex,0.0,AD12,Dex_0.0_AD12
Dex_0.0_BC08,Dex,0.0,BC08,Dex_0.0_BC08
Dex_0.0_BD04,Dex,0.0,BD04,Dex_0.0_BD04
Dex_0.0_BD12,Dex,0.0,BD12,Dex_0.0_BD12
Dex_0.1_AC07,Dex,0.1,AC07,Dex_0.1_AC07
Dex_0.1_AD03,Dex,0.1,AD03,Dex_0.1_AD03
Dex_0.1_AD11,Dex,0.1,AD11,Dex_0.1_AD11
Dex_0.1_BC07,Dex,0.1,BC07,Dex_0.1_BC07
Dex_0.1_BD03,Dex,0.1,BD03,Dex_0.1_BD03
Dex_0.1_BD11,Dex,0.1,BD11,Dex_0.1_BD11
Dex_0.5_AC06,Dex,0.5,AC06,Dex_0.5_AC06
Dex_0.5_AD02,Dex,0.5,AD02,Dex_0.5_AD02
Dex_0.5_AD10,Dex,0.5,AD10,Dex_0.5_AD10
Dex_0.5_BC06,Dex,0.5,BC06,Dex_0.5_BC06
Dex_0.5_BD02,Dex,0.5,BD02,Dex_0.5_BD02
Dex_0.5_BD10,Dex,0.5,BD10,Dex_0.5_BD10
Dex_1.0_AC05,Dex,1.0,AC05,Dex_1.0_AC05
Dex_1.0_AD01,Dex,1.0,AD01,Dex_1.0_AD01
Dex_1.0_AD09,Dex,1.0,AD09,Dex_1.0_AD09
Dex_1.0_BC05,Dex,1.0,BC05,Dex_1.0_BC05
Dex_1.0_BD01,Dex,1.0,BD01,Dex_1.0_BD01
Dex_1.0_BD09,Dex,1.0,BD09,Dex_1.0_BD09
Dex_5.0_AC04,Dex,5.0,AC04,Dex_5.0_AC04
Dex_5.0_AC12,Dex,5.0,AC12,Dex_5.0_AC12
Dex_5.0_AD08,Dex,5.0,AD08,Dex_5.0_AD08
Dex_5.0_BC04,Dex,5.0,BC04,Dex_5.0_BC04
Dex_5.0_BC12,Dex,5.0,BC12,Dex_5.0_BC12
Dex_5.0_BD08,Dex,5.0,BD08,Dex_5.0_BD08
Dex_10.0_AC03,Dex,10.0,AC03,Dex_10.0_AC03
Dex_10.0_AC11,Dex,10.0,AC11,Dex_10.0_AC11
Dex_10.0_AD07,Dex,10.0,AD07,Dex_10.0_AD07
Dex_10.0_BC03,Dex,10.0,BC03,Dex_10.0_BC03
Dex_10.0_BC11,Dex,10.0,BC11,Dex_10.0_BC11
Dex_10.0_BD07,Dex,10.0,BD07,Dex_10.0_BD07
Dex_50.0_AC02,Dex,50.0,AC02,Dex_50.0_AC02
Dex_50.0_AC10,Dex,50.0,AC10,Dex_50.0_AC10
Dex_50.0_AD06,Dex,50.0,AD06,Dex_50.0_AD06
Dex_50.0_BC02,Dex,50.0,BC02,Dex_50.0_BC02
Dex_50.0_BC10,Dex,50.0,BC10,Dex_50.0_BC10
Dex_50.0_BD06,Dex,50.0,BD06,Dex_50.0_BD06
Dex_100.0_AC01,Dex,100.0,AC01,Dex_100.0_AC01
Dex_100.0_AC09,Dex,100.0,AC09,Dex_100.0_AC09
Dex_100.0_AD05,Dex,100.0,AD05,Dex_100.0_AD05
Dex_100.0_BC01,Dex,100.0,BC01,Dex_100.0_BC01
Dex_100.0_BC09,Dex,100.0,BC09,Dex_100.0_BC09
Dex_100.0_BD05,Dex,100.0,BD05,Dex_100.0_BD05
Nutlin_0.0_AA08,Nutlin,0.0,AA08,Nutlin_0.0_AA08
Nutlin_0.0_AB04,Nutlin,0.0,AB04,Nutlin_0.0_AB04
Nutlin_0.0_AB12,Nutlin,0.0,AB12,Nutlin_0.0_AB12
Nutlin_0.0_BA08,Nutlin,0.0,BA08,Nutlin_0.0_BA08
Nutlin_0.0_BB04,Nutlin,0.0,BB04,Nutlin_0.0_BB04
Nutlin_0.0_BB12,Nutlin,0.0,BB12,Nutlin_0.0_BB12
Nutlin_0.1_AA07,Nutlin,0.1,AA07,Nutlin_0.1_AA07
Nutlin_0.1_AB03,Nutlin,0.1,AB03,Nutlin_0.1_AB03
Nutlin_0.1_AB11,Nutlin,0.1,AB11,Nutlin_0.1_AB11
Nutlin_0.1_BA07,Nutlin,0.1,BA07,Nutlin_0.1_BA07
Nutlin_0.1_BB03,Nutlin,0.1,BB03,Nutlin_0.1_BB03
Nutlin_0.1_BB11,Nutlin,0.1,BB11,Nutlin_0.1_BB11
Nutlin_0.5_AA06,Nutlin,0.5,AA06,Nutlin_0.5_AA06
Nutlin_0.5_AB02,Nutlin,0.5,AB02,Nutlin_0.5_AB02
Nutlin_0.5_AB10,Nutlin,0.5,AB10,Nutlin_0.5_AB10
Nutlin_0.5_BA06,Nutlin,0.5,BA06,Nutlin_0.5_BA06
Nutlin_0.5_BB02,Nutlin,0.5,BB02,Nutlin_0.5_BB02
Nutlin_0.5_BB10,Nutlin,0.5,BB10,Nutlin_0.5_BB10
Nutlin_1.0_AA05,Nutlin,1.0,AA05,Nutlin_1.0_AA05
Nutlin_1.0_AB01,Nutlin,1.0,AB01,Nutlin_1.0_AB01
Nutlin_1.0_AB09,Nutlin,1.0,AB09,Nutlin_1.0_AB09
Nutlin_1.0_BA05,Nutlin,1.0,BA05,Nutlin_1.0_BA05
Nutlin_1.0_BB01,Nutlin,1.0,BB01,Nutlin_1.0_BB01
Nutlin_1.0_BB09,Nutlin,1.0,BB09,Nutlin_1.0_BB09
Nutlin_5.0_AA04,Nutlin,5.0,AA04,Nutlin_5.0_AA04
Nutlin_5.0_AA12,Nutlin,5.0,AA12,Nutlin_5.0_AA12
Nutlin_5.0_AB08,Nutlin,5.0,AB08,Nutlin_5.0_AB08
Nutlin_5.0_BA04,Nutlin,5.0,BA04,Nutlin_5.0_BA04
