Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
MSigDB_Hallmark_2020,Cholesterol Homeostasis,28/74,6.59560495034011e-08,3.2978024751700548e-06,0,0,4.090595151862271,67.63503429031307,IDI1;MVK;ACSS2;GLDC;LPL;HMGCR;TM7SF2;ACTG1;NSDHL;TP53INP1;SC5D;MAL2;LDLR;FDFT1;ABCA2;STARD4;PCYT2;HMGCS1;CHKA;LSS;SQLE;SCD;FASN;MVD;ALDOC;DHCR7;ATF3;LGMN,up
MSigDB_Hallmark_2020,UV Response Up,45/158,2.068263881748532e-07,5.17065970437133e-06,0,0,2.683548934877749,41.30353777510746,CDKN1C;RET;ABCB1;ALAS1;RRAD;CLTB;CTSV;ICAM1;CYB5R1;NXF1;PPP1R2;DNAJB1;HTR7;BCL2L11;POLR2H;MSX1;ACAA1;PRKACA;NPTX2;JUNB;YKT6;KCNH2;DGAT1;CHKA;GCH1;PLCL1;ASNS;CCK;HSPA2;FOS;HLA-F;MAPK8IP2;SOD2;RHOB;OLFM1;NR4A1;SLC6A8;POLG2;NAT1;IRF1;SELENOW;CYP1A1;SQSTM1;SLC25A4;ATF3,up
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,46/200,7.479586018236172e-05,0.001246597669706,0,0,2.00886238225294,19.085695299981257,CDKN1A;CD83;SDC4;SERPINE1;SLC2A3;AREG;SAT1;SLC2A6;ICAM1;RELB;ZFP36;SNN;JUNB;LDLR;IER2;MCL1;MAP2K3;KDM6B;EGR1;JUN;EGR2;DUSP2;EGR3;GADD45B;GCH1;GADD45A;CCL20;TNFRSF9;GFPT2;FOS;SOD2;KLF2;RHOB;NFKB2;EHD1;NR4A1;PTPRE;CXCL11;ID2;IRF1;TNFSF9;NFKBIE;MXD1;SQSTM1;ATF3;BIRC3,up
MSigDB_Hallmark_2020,Apoptosis,38/161,0.00017294980119209058,0.0021618725149011,0,0,2.0750016601682937,17.974720913315327,CDKN1A;RETSAT;PLPPR4;PLAT;SAT1;GNA15;CCND2;BCL2L11;FDXR;TIMP2;PMAIP1;TIMP3;SC5D;BMF;SPTAN1;NEFH;MCL1;JUN;EGR3;GADD45B;GPX4;GCH1;GADD45A;BIK;PPP2R5B;SOD2;IGF2R;RHOB;CYLD;CCNA1;DDIT3;FEZ1;IRF1;CTH;TXNIP;SQSTM1;ATF3;BIRC3,up
MSigDB_Hallmark_2020,p53 Pathway,43/200,0.0005900660279480546,0.0059006602794805,0,0,1.8394934245473635,13.677141524247922,CYFIP2;CDKN1A;NOTCH1;HDAC3;RETSAT;CD82;RRAD;CD81;GLS2;RGS16;ABAT;IFI30;PPM1D;SAT1;CDKN2AIP;CCND2;GM2A;MKNK2;FDXR;POLH;TSPYL2;JAG2;PLK3;JUN;GADD45A;VDR;FUCA1;DCXR;VWA5A;TRAFD1;FOS;BAIAP2;PTPRE;TCN2;TRAF4;DDIT3;TXNIP;TNFSF9;CDH13;MXD1;FGF13;ATF3;MXD4,up
MSigDB_Hallmark_2020,mTORC1 Signaling,38/200,0.0105421575455789,0.0878513128798246,0,0,1.5719060172580204,7.155902599684024,IDI1;CDKN1A;INSIG1;ARPC5L;PIK3R3;STC1;CXCR4;SLC2A3;HMGCR;IFI30;ADIPOR2;ACACA;HK2;TM7SF2;SLC9A3R1;FDXR;SC5D;YKT6;LDLR;ATP6V1D;FADS1;MAP2K3;STARD4;HSPA5;GOT1;HMGCS1;ASNS;DHCR24;ACSL3;QDPR;SQLE;ACLY;SCD;DDIT3;CTH;DHCR7;SQSTM1;LGMN,up
MSigDB_Hallmark_2020,Hypoxia,37/200,0.017210963801773,0.1075685237610815,0,0,1.5204705702754535,6.176468729859061,CDKN1C;SLC25A1;CDKN1A;SDC4;CITED2;NCAN;SERPINE1;STC1;NEDD4L;CXCR4;SLC2A3;HK2;GYS1;MT2A;ZFP36;DPYSL4;NOCT;GPC3;GPC4;ANKZF1;JUN;DTNA;CAVIN1;HSPA5;FOS;KLHL24;PGF;EXT1;TPST2;EFNA3;NAGK;PPP1R3C;COL5A1;DDIT3;ALDOC;ATF3;CHST2,up
MSigDB_Hallmark_2020,heme Metabolism,37/200,0.017210963801773,0.1075685237610815,0,0,1.5204705702754535,6.176468729859061,NARF;HTRA2;MOSPD1;SLC30A10;FTCD;CCDC28A;AGPAT4;ALAD;SDCBP;UCP2;LAMP2;DCAF11;ATP6V0A1;SNCA;MPP1;MAP2K3;RBM38;SLC10A3;NCOA4;PPP2R5B;ASNS;CTNS;SLC30A1;BPGM;SPTB;MINPP1;BCAM;ALDH6A1;SLC6A8;DAAM1;SYNJ1;RANBP10;BMP2K;TMCC2;RHAG;ATG4A;OPTN,up
MSigDB_Hallmark_2020,Apical Surface,11/44,0.023052276112879,0.1240225550963481,0,0,2.227097767513472,8.39613802218411,NTNG1;GSTM3;CRYBG1;SCUBE1;SHROOM2;PCSK9;LYPD3;SLC2A4;GATA3;ADIPOR2;TMEM8B,up
MSigDB_Hallmark_2020,Estrogen Response Late,36/200,0.0272849621211965,0.1240225550963481,0,0,1.4696994113353492,5.293004217017804,RET;CLIC3;AREG;CELSR2;SLC9A3R1;ZFP36;PRKAR2B;RPS6KA2;PLAC1;CKB;FDFT1;MICB;CHST8;DUSP2;EGR3;WFS1;DCXR;TFPI2;IDH2;ATP2B4;CACNA2D2;LSR;FOS;DHRS2;TIAM1;OLFM1;CCNA1;KRT19;DNAJC1;RABEP1;TSPAN13;ID2;MAPT;DHCR7;FGFR3;PTGES,up
