Term,Adjusted P-value,drug,task,model
p53 Pathway,0.0060805338324948,Nutlin,observed,observed
Apical Surface,0.1544713472034482,Nutlin,observed,observed
Inflammatory Response,0.1652692350062165,Nutlin,observed,observed
Apoptosis,0.1843007718225359,Nutlin,observed,observed
Myogenesis,0.5014962697012455,Nutlin,observed,observed
Apical Junction,0.5014962697012455,Nutlin,observed,observed
mTORC1 Signaling,0.5014962697012455,Nutlin,observed,observed
Epithelial Mesenchymal Transition,0.5014962697012455,Nutlin,observed,observed
Allograft Rejection,0.5014962697012455,Nutlin,observed,observed
IL-6/JAK/STAT3 Signaling,0.6918568847370288,Nutlin,observed,observed
mTORC1 Signaling,0.007410650608353,Nutlin,interpolation,ridge
Androgen Response,0.0098870816368788,Nutlin,interpolation,ridge
UV Response Dn,0.0396571539210829,Nutlin,interpolation,ridge
Estrogen Response Early,0.0396571539210829,Nutlin,interpolation,ridge
Hypoxia,0.1007109400819132,Nutlin,interpolation,ridge
Estrogen Response Late,0.1007109400819132,Nutlin,interpolation,ridge
PI3K/AKT/mTOR  Signaling,0.1181608507056912,Nutlin,interpolation,ridge
Cholesterol Homeostasis,0.1855209935993137,Nutlin,interpolation,ridge
Angiogenesis,0.2175311703333466,Nutlin,interpolation,ridge
Apoptosis,0.3059161564078727,Nutlin,interpolation,ridge
mTORC1 Signaling,0.0079807006551494,Nutlin,extrapolation,ridge
Cholesterol Homeostasis,0.0183973415449808,Nutlin,extrapolation,ridge
UV Response Dn,0.0341661633781637,Nutlin,extrapolation,ridge
Androgen Response,0.0341661633781637,Nutlin,extrapolation,ridge
Epithelial Mesenchymal Transition,0.0341661633781637,Nutlin,extrapolation,ridge
Hypoxia,0.0879617320062103,Nutlin,extrapolation,ridge
Estrogen Response Early,0.0879617320062103,Nutlin,extrapolation,ridge
PI3K/AKT/mTOR  Signaling,0.0879617320062103,Nutlin,extrapolation,ridge
Fatty Acid Metabolism,0.0879617320062103,Nutlin,extrapolation,ridge
UV Response Up,0.0879617320062103,Nutlin,extrapolation,ridge
Apical Surface,0.232409861727492,SAHA,observed,observed
KRAS Signaling Dn,0.232409861727492,SAHA,observed,observed
Spermatogenesis,0.2542199923521395,SAHA,observed,observed
IL-2/STAT5 Signaling,0.2542199923521395,SAHA,observed,observed
Interferon Gamma Response,0.2542199923521395,SAHA,observed,observed
Apical Junction,0.2542199923521395,SAHA,observed,observed
Interferon Alpha Response,0.2788039207003445,SAHA,observed,observed
UV Response Up,0.2788039207003445,SAHA,observed,observed
TNF-alpha Signaling via NF-kB,0.4231374775604259,SAHA,observed,observed
Inflammatory Response,0.4231374775604259,SAHA,observed,observed
Hypoxia,0.0007093194682436878,SAHA,interpolation,ridge
mTORC1 Signaling,0.0007093194682436878,SAHA,interpolation,ridge
TNF-alpha Signaling via NF-kB,0.002596894657628,SAHA,interpolation,ridge
Androgen Response,0.0051970557322055,SAHA,interpolation,ridge
Cholesterol Homeostasis,0.0054708971468311,SAHA,interpolation,ridge
Estrogen Response Early,0.0054708971468311,SAHA,interpolation,ridge
Epithelial Mesenchymal Transition,0.0054708971468311,SAHA,interpolation,ridge
Glycolysis,0.020845427061082,SAHA,interpolation,ridge
UV Response Up,0.0236444842167093,SAHA,interpolation,ridge
KRAS Signaling Up,0.0635253622055145,SAHA,interpolation,ridge
mTORC1 Signaling,0.0013840379868169,SAHA,extrapolation,ridge
TNF-alpha Signaling via NF-kB,0.0025335557635395,SAHA,extrapolation,ridge
Hypoxia,0.0025335557635395,SAHA,extrapolation,ridge
Androgen Response,0.0050702982753224,SAHA,extrapolation,ridge
Cholesterol Homeostasis,0.0062270374028972,SAHA,extrapolation,ridge
Estrogen Response Early,0.0062270374028972,SAHA,extrapolation,ridge
UV Response Up,0.0296585864739211,SAHA,extrapolation,ridge
Epithelial Mesenchymal Transition,0.0688621812525902,SAHA,extrapolation,ridge
Glycolysis,0.0688621812525902,SAHA,extrapolation,ridge
Apoptosis,0.0921503859112679,SAHA,extrapolation,ridge
